AMLD 2019	Applied Machine Learning Days	"EPFL, Lausanne, Switzerland"
WSAI--Ei Compendex and Scopus 2019	2019 World Symposium on Artificial Intelligence (WSAI 2019)--Ei Compendex and Scopus	"Xi'an, China"
"HCIS Springer (IF:1.967, Q2) CFPs 2018"	"Call for Papers: Thematic Issue on Security, Trust, and Privacy for Human-centric Internet of Things (indexed by SCIE)"	Locationunavailable
JCRAI 2018	2018 International Joint Conference on Robotics and Artificial Intelligence(JCRAI 2018)	"Wellington, New Zealand"
SEAHF 2019	"International Conference on Smart Innovation, Ergonomics and Applied Human Factors"	"Madrid, Spain"
IRI AC19	IRI 2019 Annual Conference - Innovation Unleashed: Physical Meets Digital	"Pittsburgh, PA"
ISCSAI 2018	2018 International Symposium on Computer Science and Artificial Intelligence	Hong Kong
ISBDAI 2018	2018 International Symposium on Big Data and Artificial Intelligence	Hong Kong
SI-TNNLS-SMLMATA 2018	"TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications"	Locationunavailable
ACM--ICIAI--Ei Compendex and Scopus 2019	ACM--2019 The 3rd International Conference on Innovation in Artificial Intelligence (ICIAI 2019)--Ei Compendex and Scopus	"Suzhou, China"
ICSRT--Ei and Scopus 2019	2019 International Conference on Service Robotics Technologies (ICSRT 2019)--Ei Compendex and Scopus	"Beijing, China"
EvoApplications 2019	"The 22nd International Conference on the Applications of Evolutionary Computation, April 24â€“26 2019, Leipzig, Germany."	"Leipzig, Germany"
IoT and Big Data 2019	IEEE IoTJ Special Issue on Nature-Inspired Approaches for IoT and Big Data	Locationunavailable
AAAI-MAKE 2019	AAAI 2019 Spring Symposium on Combining Machine Learning with Knowledge Engineering	"Stanford University, Palo Alto, CA, USA"
PAL 2019	Privacy-Enhancing Artificial Intelligence and Language Technologies	"Palo Alto, California"
ICAMD--EI and Scopus 2019	"2019 The 2nd International Conference on Automation, Mechanical and Design Engineering (ICAMD 2019)--EI Compendex and Scopus"	"Chengdu, China"
IMCS 2018	Information Management and Computer Science	Locationunavailable
"ICMAA--EI, Scopus 2019"	"2019 3rd International Conference on Mechanical, Aeronautical and Automotive Engineering (ICMAA 2019)--EI Compendex, Scopus"	"Chengdu, China"
ICETI 2018	2018 3rd International Conference on Engineering and Technology Innovations	Hong Kong
IEEE--ICCAR--Ei & SCOPUS 2019	"2019 The 5th IEEE International Conference on Control, Automation and Robotics (ICCAR 2019)--Ei Compendex & SCOPUS"	"Beijing, China"
IMCS 2018	2018 International Conference on Information Management and Computer Science	Hong Kong
ICBCB--Ei and Scopus 2019	2019 7th International Conference on Bioinformatics and Computational Biology (ICBCB 2019)--Ei Compendex and Scopus	"Zhejiang University, Hangzhou, China"
EI/Scopus-PRIS 2019	2019 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2019)	"Shanghai,China"
"ICIT--ACM, Ei, Scopus 2018"	"ACM--2018 The 6th International Conference on Information Technology (ICIT 2018)--Ei Compendex, Scopus"	Hong Kong
"ICMLC--ACM, Ei and Scopus 2019"	"2019 11th International Conference on Machine Learning and Computing (ICMLC 2019)--ACM, Ei Compendex and Scopus"	"Zhuhai, China"
ACM--ICVARS--Ei and Scopus 2019	ACM--2019 the 3rd International Conference on Virtual and Augmented Reality Simulations (ICVARS 2019)--Ei Compendex and Scopus	"Perth, Australia"
"ISMSI--Ei, Scopus 2019"	"2019 3rd International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2019)--Ei Compendex, Scopus"	"Male, Maldives"
PerPersuasion 2019	1st International Workshop on Pervasive Persuasive Systems for Behavior Change (co-located with IEEE PerCom 2019)	"Kyoto, Japan"
"ICMRE--ACM, Ei Compendex and Scopus 2019"	ACM--2019 5th International Conference on Mechatronics and Robotics Engineering (ICMRE 2019)--Ei Compendex and Scopus	"Rome, Italy"
"ACM--ICMVA--Ei, Scopus 2019"	"ACM--2019 The 2nd International Conference on Machine Vision and Applications (ICMVA 2019)--Ei Compendex, Scopus"	"Tokyo, Japan"
ICGDA--Ei Compendex and Scopus 2019	2019 2nd International Conference on Geoinformatics and Data Analysis (ICGDA 2019)--Ei Compendex and Scopus	"Prague, Czech Republic"
"ICMVA--ACM, Ei, Scopus 2019"	"ACM--2019 The 2nd International Conference on Machine Vision and Applications (ICMVA 2019)--Ei Compendex, Scopus"	"Tokyo, Japan"
